"p_date","revenue"
2016-09-15,134.97
2016-10-04,2443.5698
2016-10-05,1622.0502
2016-10-06,17515.578
2016-10-07,10559.802
2016-10-08,5670.209
2016-10-09,1738.3501
2016-10-10,6517.0713
2016-10-11,2615.1501
2016-10-12,358.6
2016-10-13,599.69
2016-12-23,10.9
2017-01-05,85.8
2017-01-06,905.89
2017-01-07,1663.0004
2017-01-08,458.69
2017-01-09,776.79004
2017-01-10,969.45
2017-01-11,2444.5598
2017-01-12,2339.1802
2017-01-13,2529.48
2017-01-14,1326.8901
2017-01-15,1177.5801
2017-01-16,2081.52
2017-01-17,4032.8389
2017-01-18,4753.6797
2017-01-19,3254.4397
2017-01-20,3323.1497
2017-01-21,3023.6384
2017-01-22,3565.08
2017-01-23,5657.6196
2017-01-24,6761.8887
2017-01-25,8638.569
2017-01-26,9081.412
2017-01-27,9442.919
2017-01-28,10588.631
2017-01-29,4701.2495
2017-01-30,8451.741
2017-01-31,12825.025
2017-02-01,9078.592
2017-02-02,9148.933
2017-02-03,8501.382
2017-02-04,17040.537
2017-02-05,6161.73
2017-02-06,7780.2705
2017-02-07,16363.6455
2017-02-08,10049.631
2017-02-09,10969.894
2017-02-10,12129.887
2017-02-11,9818.911
2017-02-12,12567.026
2017-02-13,8414.101
2017-02-14,14083.057
2017-02-15,9029.702
2017-02-16,6882.5396
2017-02-17,6314.9697
2017-02-18,6652.7295
2017-02-19,4015.609
2017-02-20,4711.6797
2017-02-21,4580.4204
2017-02-22,12008.429
2017-02-23,7126.3887
2017-02-24,8467.779
2017-02-25,4183.5195
2017-02-26,5570.9
2017-02-27,5129.8594
2017-02-28,10659.013
2017-03-01,8098.8193
2017-03-02,12988.9375
2017-03-03,13656.902
2017-03-04,12986.933
2017-03-05,8030.6797
2017-03-06,9805.773
2017-03-07,12388.589
2017-03-08,15418.949
2017-03-09,14143.15
2017-03-10,12682.077
2017-03-11,10852.977
2017-03-12,6612.159
2017-03-13,16958.064
2017-03-14,14243.669
2017-03-15,14999.341
2017-03-16,14034.792
2017-03-17,11880.441
2017-03-18,16433.828
2017-03-19,6649.34
2017-03-20,17096.51
2017-03-21,10541.495
2017-03-22,11991.625
2017-03-23,12377.573
2017-03-24,13839.533
2017-03-25,9184.535
2017-03-26,5871.59
2017-03-27,10229.275
2017-03-28,15332.785
2017-03-29,11726.414
2017-03-30,9841.585
2017-03-31,9713.413
2017-04-01,10281.713
2017-04-02,9557.981
2017-04-03,13605.802
2017-04-04,16225.0205
2017-04-05,17537.754
2017-04-06,21188.84
2017-04-07,18270.47
2017-04-08,9275.59
2017-04-09,6800.769
2017-04-10,10533.674
2017-04-11,11509.645
2017-04-12,7363.3613
2017-04-13,10712.185
2017-04-14,8963.043
2017-04-15,6874.1396
2017-04-16,5546.3496
2017-04-17,5997.029
2017-04-18,19125.963
2017-04-19,15953.507
2017-04-20,11598.999
2017-04-21,8960.401
2017-04-22,10249.863
2017-04-23,7061.3687
2017-04-24,12220.237
2017-04-25,19537.723
2017-04-26,16877.535
2017-04-27,11629.06
2017-04-28,13588.587
2017-04-29,12465.349
2017-04-30,8126.94
2017-05-01,10643.376
2017-05-02,7239.679
2017-05-03,23492.598
2017-05-04,14962.487
2017-05-05,14600.546
2017-05-06,19397.537
2017-05-07,15593.095
2017-05-08,11809.805
2017-05-09,14981.698
2017-05-10,20445.139
2017-05-11,21828.066
2017-05-12,16770.645
2017-05-13,12267.77
2017-05-14,12191.478
2017-05-15,11228.115
2017-05-16,21377.525
2017-05-17,23391.844
2017-05-18,20159.582
2017-05-19,17026.262
2017-05-20,13022.546
2017-05-21,13647.071
2017-05-22,18942.84
2017-05-23,25882.828
2017-05-24,19341.654
2017-05-25,15566.672
2017-05-26,19898.59
2017-05-27,10564.022
2017-05-28,11367.06
2017-05-29,14700.715
2017-05-30,14840.814
2017-05-31,19986.26
2017-06-01,17885.04
2017-06-02,20077.684
2017-06-03,15218.861
2017-06-04,11311.506
2017-06-05,14807.944
2017-06-06,25581.062
2017-06-07,12934.541
2017-06-08,15622.865
2017-06-09,17393.375
2017-06-10,11278.266
2017-06-11,11721.124
2017-06-12,10274.885
2017-06-13,19557.553
2017-06-14,13338.136
2017-06-15,17509.55
2017-06-16,11334.9375
2017-06-17,14514.802
2017-06-18,14942.578
2017-06-19,17259.842
2017-06-20,18040.227
2017-06-21,10327.752
2017-06-22,8856.993
2017-06-23,10566.404
2017-06-24,6219.6685
2017-06-25,11921.144
2017-06-26,11879.481
2017-06-27,25420.854
2017-06-28,14600.063
2017-06-29,14411.83
2017-06-30,12469.9375
2017-07-01,11760.676
2017-07-02,10815.5625
2017-07-03,12132.419
2017-07-04,13564.948
2017-07-05,21565.625
2017-07-06,21809.852
2017-07-07,15683.893
2017-07-08,15770.131
2017-07-09,6986.0386
2017-07-10,11680.838
2017-07-11,20289.533
2017-07-12,19786.666
2017-07-13,15740.679
2017-07-14,19534.557
2017-07-15,12925.661
2017-07-16,11866.778
2017-07-17,17513.77
2017-07-18,26691.75
2017-07-19,20185.72
2017-07-20,22171.473
2017-07-21,13455.453
2017-07-22,14091.673
2017-07-23,9026.91
2017-07-24,15520.412
2017-07-25,17961.982
2017-07-26,16307.6045
2017-07-27,17012.088
2017-07-28,15408.455
2017-07-29,19808.965
2017-07-30,10640.825
2017-07-31,15055.552
2017-08-01,18827.006
2017-08-02,23282.143
2017-08-03,20249.91
2017-08-04,17336.295
2017-08-05,15609.852
2017-08-06,12547.203
2017-08-07,13294.308
2017-08-08,26094.344
2017-08-09,17096.775
2017-08-10,23617.824
2017-08-11,17691.19
2017-08-12,18783.008
2017-08-13,8334.26
2017-08-14,14232.646
2017-08-15,24108.531
2017-08-16,22459.725
2017-08-17,21667.754
2017-08-18,16300.655
2017-08-19,19145.012
2017-08-20,10709.614
2017-08-21,17036.496
2017-08-22,18647.969
2017-08-23,16842.955
2017-08-24,16251.918
2017-08-25,16053.07
2017-08-26,12450.26
2017-08-27,9634.502
2017-08-28,19778.14
2017-08-29,29617.496
2017-08-30,26707.77
2017-08-31,28533.234
2017-09-01,26885.26
2017-09-02,20052.717
2017-09-03,20943.986
2017-09-04,23527.826
2017-09-05,24120.027
2017-09-06,28742.521
2017-09-07,16958.287
2017-09-08,14540.435
2017-09-09,16036.504
2017-09-10,13882.918
2017-09-11,20931.549
2017-09-12,25444.023
2017-09-13,30727.152
2017-09-14,26084.037
2017-09-15,21126.908
2017-09-16,19042.623
2017-09-17,18323.473
2017-09-18,19301.975
2017-09-19,30527.254
2017-09-20,22048.223
2017-09-21,22508.988
2017-09-22,14772.207
2017-09-23,13278.486
2017-09-24,10118.253
2017-09-25,14705.319
2017-09-26,24334.81
2017-09-27,22422.705
2017-09-28,18631.402
2017-09-29,20259.146
2017-09-30,14641.414
2017-10-01,13390.644
2017-10-02,33621.867
2017-10-03,28521.137
2017-10-04,23180.682
2017-10-05,23780.275
2017-10-06,20360.6
2017-10-07,17400.873
2017-10-08,13869.656
2017-10-09,19370.76
2017-10-10,32928.688
2017-10-11,26298.236
2017-10-12,21251.82
2017-10-13,19882.62
2017-10-14,18209.062
2017-10-15,15158.64
2017-10-16,22862.861
2017-10-17,34411.13
2017-10-18,30470.264
2017-10-19,22913.498
2017-10-20,21584.158
2017-10-21,17285.377
2017-10-22,17102.016
2017-10-23,17967.225
2017-10-24,22493.867
2017-10-25,20221.162
2017-10-26,25458.008
2017-10-27,17667.818
2017-10-28,14070.269
2017-10-29,12396.25
2017-10-30,20973.967
2017-10-31,24789.844
2017-11-01,25668.67
2017-11-02,20888.117
2017-11-03,19755.8
2017-11-04,21517.334
2017-11-05,14521.639
2017-11-06,10504.152
2017-11-07,38021.043
2017-11-08,25161.703
2017-11-09,21763.54
2017-11-10,21387.746
2017-11-11,23523.795
2017-11-12,19896.326
2017-11-13,19304.898
2017-11-14,31713.02
2017-11-15,24751.078
2017-11-16,18122.645
2017-11-17,32876.492
2017-11-18,34714.465
2017-11-19,16726.17
2017-11-20,31631.715
2017-11-21,35725.836
2017-11-22,36271.383
2017-11-23,36652.133
2017-11-24,104488.93
2017-11-25,94173.4
2017-11-26,39243.56
2017-11-27,42905.527
2017-11-28,65159.598
2017-11-29,39826.69
2017-11-30,27951.627
2017-12-01,51798.184
2017-12-02,33552.156
2017-12-03,24256.027
2017-12-04,24510.945
2017-12-05,55629.055
2017-12-06,43803.477
2017-12-07,29770.21
2017-12-08,28491.771
2017-12-09,24116.516
2017-12-10,19848.957
2017-12-11,25948.326
2017-12-12,45834.62
2017-12-13,30325.309
2017-12-14,21870.46
2017-12-15,25373.611
2017-12-16,28746.053
2017-12-17,18134.375
2017-12-18,22755.904
2017-12-19,24782.8
2017-12-20,31323.387
2017-12-21,19285.338
2017-12-22,19698.135
2017-12-23,11902.538
2017-12-24,6473.11
2017-12-25,7362.65
2017-12-26,17287.256
2017-12-27,23063.21
2017-12-28,16538.95
2017-12-29,15045.991
2017-12-30,10788.263
2017-12-31,7214.9624
2018-01-01,6404.0
2018-01-02,20553.45
2018-01-03,32601.541
2018-01-04,32787.418
2018-01-05,29687.064
2018-01-06,28007.793
2018-01-07,25893.441
2018-01-08,30424.498
2018-01-09,31363.33
2018-01-10,42064.215
2018-01-11,34566.137
2018-01-12,39668.566
2018-01-13,33480.45
2018-01-14,24040.434
2018-01-15,34276.203
2018-01-16,53421.33
2018-01-17,35180.42
2018-01-18,30324.545
2018-01-19,28285.309
2018-01-20,27180.7
2018-01-21,397.69998
2018-01-22,47946.637
2018-01-23,37046.18
2018-01-24,35615.61
2018-01-25,31486.906
2018-01-26,31876.85
2018-01-27,29821.002
2018-01-28,17387.834
2018-01-29,29254.373
2018-01-30,32249.537
2018-01-31,29599.656
2018-02-01,32101.209
2018-02-02,26401.98
2018-02-03,24783.295
2018-02-04,26088.457
2018-02-05,28702.725
2018-02-06,38452.58
2018-02-07,29332.45
2018-02-08,33107.7
2018-02-09,29766.912
2018-02-10,26681.13
2018-02-11,21278.549
2018-02-12,18281.057
2018-02-13,19701.37
2018-02-14,27172.826
2018-02-15,38589.29
2018-02-16,36408.133
2018-02-17,27456.791
2018-02-18,21091.629
2018-02-19,23222.402
2018-02-20,37737.223
2018-02-21,33773.324
2018-02-22,31039.75
2018-02-23,32447.016
2018-02-24,28299.111
2018-02-25,21742.625
2018-02-26,33698.8
2018-02-27,44469.207
2018-02-28,45336.375
2018-03-01,44128.395
2018-03-02,35841.613
2018-03-03,30689.441
2018-03-04,27042.807
2018-03-05,30009.375
2018-03-06,48358.133
2018-03-07,33355.25
2018-03-08,29123.01
2018-03-09,29849.428
2018-03-10,29795.232
2018-03-11,27685.123
2018-03-12,26259.686
2018-03-13,35105.07
2018-03-14,32559.748
2018-03-15,39058.61
2018-03-16,33219.184
2018-03-17,27114.064
2018-03-18,27412.256
2018-03-19,35465.336
2018-03-20,39125.242
2018-03-21,39103.125
2018-03-22,38808.402
2018-03-23,31821.057
2018-03-24,24506.854
2018-03-25,22530.246
2018-03-26,30178.182
2018-03-27,35505.152
2018-03-28,29029.361
2018-03-29,32153.875
2018-03-30,22669.21
2018-03-31,25480.145
2018-04-01,22874.133
2018-04-02,35809.383
2018-04-03,41188.41
2018-04-04,36949.17
2018-04-05,41717.332
2018-04-06,27946.146
2018-04-07,26680.92
2018-04-08,17695.379
2018-04-09,29087.477
2018-04-10,51317.113
2018-04-11,38472.223
2018-04-12,20406.316
2018-04-13,48251.08
2018-04-14,23366.957
2018-04-15,25150.781
2018-04-16,35198.594
2018-04-17,41012.48
2018-04-18,38471.598
2018-04-19,44899.332
2018-04-20,19034.111
2018-04-24,132994.69
2018-04-25,45100.797
2018-04-26,33924.91
2018-04-27,37853.38
2018-04-28,29593.117
2018-04-29,18147.705
2018-04-30,13705.962
2018-05-01,51008.316
2018-05-02,30875.76
2018-05-03,45734.2
2018-05-04,43122.61
2018-05-05,30988.752
2018-05-06,11567.755
2018-05-07,55241.004
2018-05-08,60324.39
2018-05-09,41050.39
2018-05-10,49681.0
2018-05-11,41533.785
2018-05-12,35316.652
2018-05-13,25784.35
2018-05-14,41711.914
2018-05-15,53784.316
2018-05-16,47550.965
2018-05-17,19267.28
2018-05-18,58518.215
2018-05-19,21135.787
2018-05-20,18675.637
2018-05-21,18424.775
2018-05-22,34986.137
2018-05-23,25185.041
2018-05-24,20300.0
2018-05-25,13677.597
2018-05-26,21704.164
2018-05-27,9054.923
2018-05-28,22527.502
2018-05-29,22954.592
2018-05-30,23955.01
2018-05-31,22830.543
2018-06-01,25044.953
2018-06-02,33109.277
2018-06-03,25585.633
2018-06-04,21262.094
2018-06-05,41293.504
2018-06-06,26694.502
2018-06-07,37701.098
2018-06-08,23986.715
2018-06-09,32941.74
2018-06-10,19244.92
2018-06-11,40369.496
2018-06-12,49687.867
2018-06-13,38889.543
2018-06-14,28801.113
2018-06-15,25806.39
2018-06-16,21446.732
2018-06-17,15453.04
2018-06-18,29321.443
2018-06-19,40703.926
2018-06-20,30514.072
2018-06-21,27116.885
2018-06-22,25115.28
2018-06-23,20248.92
2018-06-24,18295.416
2018-06-25,31758.818
2018-06-26,37507.906
2018-06-27,26855.11
2018-06-28,33312.34
2018-06-29,23028.953
2018-06-30,18422.984
2018-07-01,16330.899
2018-07-02,22649.248
2018-07-03,535.58
2018-07-05,92983.41
2018-07-06,23071.357
2018-07-07,10774.407
2018-07-08,12094.048
2018-07-09,15681.562
2018-07-10,21872.969
2018-07-11,19955.428
2018-07-12,27567.666
2018-07-13,24587.39
2018-07-14,25156.428
2018-07-15,17845.63
2018-07-16,24910.922
2018-07-17,47704.016
2018-07-18,36983.332
2018-07-19,37453.637
2018-07-20,35764.348
2018-07-21,27100.205
2018-07-22,357.68997
2018-07-23,41937.668
2018-07-24,56169.65
2018-07-25,33146.707
2018-07-26,37158.5
2018-07-27,39728.465
2018-07-28,24614.61
2018-07-29,16408.29
2018-07-30,40774.14
2018-07-31,45954.664
2018-08-01,46740.805
2018-08-02,42468.45
2018-08-03,36907.15
2018-08-04,37289.465
2018-08-05,32710.84
2018-08-06,51914.562
2018-08-07,55420.08
2018-08-08,47500.48
2018-08-09,42216.543
2018-08-10,34947.27
2018-08-11,26638.457
2018-08-12,22293.473
2018-08-13,36933.49
2018-08-14,46538.89
2018-08-15,45103.832
2018-08-16,34280.723
2018-08-17,36701.74
2018-08-18,27385.406
2018-08-20,59158.453
2018-08-21,31561.023
2018-08-22,20912.078
2018-08-23,16030.14
2018-08-24,15162.129
2018-08-25,9131.793
2018-08-26,10219.145
2018-08-27,5726.4995
2018-08-28,5106.3
2018-08-29,1987.6304
2018-09-03,145.0
